Logradouro,CEP,Bairro
Rua Olavo Bilac,77540-092,Serrano
Rua Olavo Bilac,77543-180,Jardim Paulista
Rua Orivaldo José Mendes,77545-484,Marista
Rua Oscar Niemeyer,77543-198,Jardim Paulista
Rua Oscar Niemeyer,77543-332,Vale do Araguaia
Rua Oswaldo Aranha,77543-190,Jardim Paulista
Rua Padre Paulo Pereira Rêgo,77545-498,Marista
Rua Paraguai,77546-392,Vila Regina
Rua Paraguassú,77543-248,Jardim Paulista
Rua Paraiba,77545-420,Marista
Rua Paraná,77545-198,Oeste
Rua Pardal,77540-420,Portal do Sul
Rua Paresi,77543-258,Jardim Paulista
Rua Paulo Freire,77543-330,Vale do Araguaia
Rua Pedro Afonso,77540-052,Serrano
Rua Pedro Moura Brito,77545-840,Pouso Alegre
Rua Peito de Aho,77540-424,Portal do Sul
Rua Perdizes,77543-124,Jardim Paulista
Rua Perimetral Leste,77546-160,Santa Clara
Rua Perimetral Norte,77546-162,Santa Clara
Rua Perimetral Oeste,77546-166,Santa Clara
Rua Perimetral Sul,77545-778,Pouso Alegre
Rua Peroba,77543-304,Terra Bela
Rua Peru,77540-130,Serrano
Rua Perus,77543-118,Jardim Paulista
Rua Piauí Zé Bileu,77545-140,Vila Popular
Rua Piauí Zé Bileu,77545-218,Oeste
Rua Pinheiro,77545-408,Bueno
Rua Pio X,77540-122,Serrano
Rua Piraiba,77545-428,Marista
Rua Pirarara,77545-460,Marista
Rua Porto Nacional,77540-118,Serrano
Rua Portugal,77546-382,Vila Regina
Rua Potiguara,77543-246,Jardim Paulista
Rua Princesa Isabel,77543-184,Jardim Paulista
Rua Professora Dalva,77545-488,Marista
Rua Protásio Alves,77543-286,Jardim Paulista
Rua Quintino Bocaiúva,77543-230,Jardim Paulista
Rua Raimunda Alves Barros,77540-564,Lago Sul
Rua Raimunda Moreira de Sousa,77540-606,Lago Sul
Rua Raimundo dos Santos,77545-442,Marista
Rua Ramiro Barcelos,77543-288,Jardim Paulista
Rua Raquel de Queiroz,77543-174,Jardim Paulista
Rua Raquel Murça,77545-490,Marista
Rua Remo Ferreira Rios,77545-500,Marista
Rua Residencial 1,77546-002,Nova Fronteira
Rua Residencial 10,77546-024,Nova Fronteira
Rua Residencial 10A,77546-026,Nova Fronteira
Rua Residencial 11,77546-028,Nova Fronteira
Rua Residencial 11A,77546-030,Nova Fronteira
Rua Residencial 12,77546-032,Nova Fronteira
Rua Residencial 12A,77546-034,Nova Fronteira
Rua Residencial 13,77546-036,Nova Fronteira
Rua Residencial 14,77546-038,Nova Fronteira
Rua Residencial 14A,77546-040,Nova Fronteira
Rua Residencial 15,77546-042,Nova Fronteira
Rua Residencial 15A,77546-044,Nova Fronteira
Rua Residencial 16,77546-054,Nova Fronteira
Rua Residencial 17,77546-056,Nova Fronteira
Rua Residencial 18,77546-058,Nova Fronteira
Rua Residencial 19,77546-060,Nova Fronteira
Rua Residencial 2,77546-004,Nova Fronteira
Rua Residencial 20,77546-064,Nova Fronteira
Rua Residencial 21,77546-066,Nova Fronteira
Rua Residencial 22,77546-068,Nova Fronteira
Rua Residencial 3,77546-006,Nova Fronteira
Rua Residencial 5,77546-010,Nova Fronteira
Rua Residencial 6,77546-012,Nova Fronteira
Rua Residencial 7,77546-014,Nova Fronteira
Rua Residencial 8,77546-016,Nova Fronteira
Rua Residencial 8A,77546-018,Nova Fronteira
Rua Residencial 9,77546-020,Nova Fronteira
Rua Residencial 9A,77546-022,Nova Fronteira
Rua RF-1,77546-440,Residencial Flamboyant
Rua RF-2,77546-442,Residencial Flamboyant
Rua RF-3,77546-444,Residencial Flamboyant
Rua RF-4,77546-446,Residencial Flamboyant
Rua Rio Araguaia,77545-398,Bueno
Rua Rio Caiapó,77545-396,Bueno
Rua Rio Caiapó,77545-450,Marista
Rua Rio Lajeado,77545-392,Bueno
Rua Rio Lajeado,77545-454,Marista
Rua Rio Negro,77545-156,Oeste
Rua Rio Tocantins,77545-394,Bueno
Rua Rio Tocantins,77545-452,Marista
Rua Roberto Marinho,77543-328,Vale do Araguaia
Rua Romênia,77546-430,Vila Regina
Rua Roquiel Rodrigues do Nascimento,77545-426,Marista
Rua Rouxinol,77543-160,Jardim Paulista
Rua Rui Barbosa,77543-240,Jardim Paulista
Rua Ruy Barbosa,77545-146,Vila Popular
Rua Ruy Barbosa,77545-226,Oeste
Rua Sabiá,77543-158,Jardim Paulista
Rua Salgado Filho,77543-224,Jardim Paulista
Rua Salviana Barros,77546-180,Nova Esperança
Rua Samuel Miranda Acácio,77545-118,Bela Vista
Rua Samuel Riranda Acácio,77545-682,Jardim do Lago
Rua Santos Dumont,77543-206,Jardim Paulista
